ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor
5818;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5819;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5820;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5821;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5822;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5823;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5824;tulipifera;Liriodendron;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5825;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5826;calleryana;Pyrus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5827;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5828;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
5829;ornus;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5830;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5831;N/A;Fraxinus;2006;2005;non;passages fréquents et arrêts fréquents;vigoureux
5832;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5833;carpinifolia;Ostrya;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
5834;serrulata;Prunus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5835;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5836;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5837;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5838;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5839;cordata;Alnus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5840;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5841;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5842;nigra;Populus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5843;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5844;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5845;tomentosa;Paulownia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5846;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5847;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5848;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5849;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5850;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5851;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5852;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5853;sylvatica;Fagus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5854;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
5855;sylvatica;Fagus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5856;calleryana;Pyrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5857;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5858;platanoides;Acer;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
5859;acerifolia;Platanus;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
5860;campestris;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
5861;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5862;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5863;nigra;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5864;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5865;orientalis;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5866;campestris;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5867;serrata;Zelkova;2007;2005;non;passages fréquents et arrêts fréquents;vigoureux
5868;calleryana;Pyrus;2008;2005;non;passages fréquents et arrêts fréquents;vigoureux
5869;calleryana;Pyrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5870;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5871;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5872;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5873;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5874;campestris;Acer;2005;2005;non;passages fréquents ou arrêts;vigoureux
5875;N/A;Acer;2004;2000;oui;passages fréquents ou arrêts;vigoureux
5876;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5877;tomentosa;Paulownia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5878;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5879;N/A;Cedrus;2009;2005;non;passages fréquents ou arrêts;vigoureux
5880;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5881;rubra;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5882;excelsior;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5883;N/A;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5884;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5885;biloba;Ginkgo;2004;2000;non;passages fréquents ou arrêts;vigoureux
5886;campestris;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5887;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5888;calleryana;Pyrus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5889;nigra;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5890;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5891;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5892;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5893;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5894;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5895;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5896;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5897;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5898;paniculata;Koelreuteria;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5899;deodara;Cedrus;2004;2000;oui;passages fréquents ou arrêts;vigoureux
5900;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5901;indica;Lagerstroemia;2014;2010;oui;passages fréquents ou arrêts;vigoureux
5902;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5903;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5904;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5905;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5906;pseudoplatanus;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
5907;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5908;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5909;serrulata;Prunus;2007;2005;non;passages fréquents et arrêts fréquents;vigoureux
5910;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5911;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5912;N/A;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5913;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5914;nordmaniana;Abies;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5915;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5916;verrucosa;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5917;orientalis;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5918;robusta;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5919;serrata;Zelkova;2007;2005;non;passages fréquents et arrêts fréquents;vigoureux
5920;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5921;alba;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5922;nigra;Pinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5923;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5924;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5925;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5926;N/A;Acer;2006;2005;non;passages fréquents ou arrêts;vigueur intermédiaire
5927;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5928;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5929;sempervirens;Cupressus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5930;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5931;cerris;Quercus;2014;2010;non;passages fréquents ou arrêts;vigoureux
5932;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
5933;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5934;robusta;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5935;orientalis;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5936;avium;Prunus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
5937;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5938;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5939;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5940;floribunda;Malus;2004;2000;non;quelques passages;vigoureux
5941;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5942;pseudoplatanus;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5943;N/A;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux
5944;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5945;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5946;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5947;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5948;ginnala;Acer;2004;2000;non;passages fréquents ou arrêts;vieillissement dépérissement
5949;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5950;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5951;saccharinum;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
5952;decurens;Libocedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5953;robusta;Populus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
5954;monspessulanum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5955;soulangiana;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5956;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5957;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5958;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
5959;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5960;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5961;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5962;japonica;Sophora;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux
5963;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5964;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5965;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5966;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5967;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5968;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5969;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5970;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5971;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5972;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5973;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5974;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5975;paniculata;Koelreuteria;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5976;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5977;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5978;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5979;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5980;N/A;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5981;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5982;nigra;Pinus;2004;2000;non;quelques passages;vigoureux
5983;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
5984;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5985;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5986;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5987;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
5988;alba;Betula;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
5989;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5990;carica;Ficus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5991;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5992;N/A;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5993;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
5994;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
5995;paniculata;Koelreuteria;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
5996;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
5997;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
5998;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigoureux
5999;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6000;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6001;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6002;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6003;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6004;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6005;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6006;N/A;Salix;2010;2010;non;passages fréquents ou arrêts;vigoureux
6007;paniculata;Koelreuteria;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6008;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
6009;domestica;Prunus;2015;2015;non;passages fréquents ou arrêts;vigoureux
6010;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6011;cordata;Alnus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6012;jullibrissin;Albizia;2006;2005;non;passages fréquents ou arrêts;vigoureux
6013;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6014;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
6015;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6016;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6017;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6018;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
6019;japonica;Sophora;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux
6020;N/A;Amélanchier;2004;2000;oui;passages fréquents ou arrêts;vigoureux
6021;canadensis;Amélanchier;2008;2005;oui;passages fréquents et arrêts fréquents;vigoureux
6022;N/A;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6023;platanoides;Acer;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux
6024;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6025;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6026;petraea;Quercus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6027;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
6028;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6029;cordata;Alnus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6030;freemani;Acer;2015;2015;non;passages fréquents ou arrêts;vigoureux
6031;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
6032;deodara;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6033;colurna;Corylus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6034;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6035;robur;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6036;grandiflora;Magnolia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6037;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6038;campestris;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
6039;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
6040;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6041;N/A;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6042;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6043;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6044;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6045;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6046;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6047;atlantica;Cedrus;2004;2000;non;quelques passages;vigoureux
6048;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6049;N/A;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6050;hippocastanum;Aesculus;2004;2000;non;passages fréquents ou arrêts;vieillissement dépérissement
6051;carpinifolia;Ostrya;2014;2010;oui;passages fréquents ou arrêts;vigoureux
6052;N/A;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6053;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6054;calleryana;Pyrus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6055;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6056;monspessulanum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6057;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6058;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
6059;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6060;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
6061;ceracifera;Prunus;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux
6062;americana;Fraxinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
6063;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6064;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6065;negundo;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6066;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6067;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6068;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6069;soulangiana;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire
6070;verrucosa;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vieillissement dépérissement
6071;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6072;platanoides;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6073;acerifolia;Platanus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6074;mongolica;Tilia;2015;2015;oui;passages fréquents ou arrêts;vigoureux
6075;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6076;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6077;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6078;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6079;tomentosa;Tilia;2008;2005;oui;passages fréquents et arrêts fréquents;vigoureux
6080;arizonica;Cupressus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6081;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6082;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6083;sempervirens;Cupressus;2007;2005;non;passages fréquents et arrêts fréquents;vigoureux
6084;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6085;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6086;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6087;henryana;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6088;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
6089;triacanthos;Gleditsia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6090;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6091;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6092;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6093;leylandii;Cupressocyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6094;carpinifolia;Ostrya;2014;2010;oui;passages fréquents ou arrêts;vigoureux
6095;N/A;Crataegus;2014;2010;non;passages fréquents ou arrêts;vigoureux
6096;tomentosa;Tilia;2004;2000;non;quelques passages;vigoureux
6097;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6098;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6099;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux
6100;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
6101;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6102;minor;Ulmus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6103;sylvestris;Pinus;2014;2010;oui;passages fréquents ou arrêts;vigoureux
6104;magnifica;Sorbus;2014;2010;non;passages fréquents ou arrêts;vigoureux
6105;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6106;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6107;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6108;N/A;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6109;cuspidata;Sorbus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6110;serrulata;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement
6111;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6112;N/A;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux
6113;N/A;Quercus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6114;platyphyllos;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6115;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6116;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6117;abies;Picea;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6118;verrucosa;Betula;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire
6119;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6120;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire
6121;nigra;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6122;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6123;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6124;sylvestris;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux
6125;danielli;Tetradium;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6126;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6127;N/A;Fraxinus;2005;2005;oui;passages fréquents ou arrêts;vigoureux
6128;orientalis;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6129;regia;Juglans;2014;2010;non;passages fréquents ou arrêts;vigoureux
6130;cordata;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6131;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux
6132;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
6133;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux
