ID;species;genus;seedingYear;seeding5YearPeriod;sidewalkProximity;environmentBusyness;vigor;stumpDiameter;stumpDiameterGroup
3551;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;20 à 30 cm;0
3552;nigra;Juglans;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3553;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigoureux;50 à 60 cm;0
3554;baccata;Taxus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
3555;angustifolia;Fraxinus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3556;calleryana;Pyrus;2013;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3557;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3558;sylvatica;Fagus;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
3559;nigra;Morus;2004;2000;non;passages fréquents ou arrêts;vigoureux;50 à 60 cm;0
3560;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3561;campestris;Acer;2012;2010;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3562;palustris;Quercus;2006;2005;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3563;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3564;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3565;cerris;Quercus;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3566;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3567;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3568;atlantica;Cedrus;2004;2000;non;quelques passages;vigoureux;60 à 70 cm;0
3569;ginnala;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;10 à 20 cm;0
3570;verrucosa;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3571;cerris;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3572;cerris;Quercus;2013;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3573;avium;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3574;sylvatica;Fagus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3575;robusta;Populus;2004;2000;non;passages fréquents ou arrêts;vigoureux;60 à 70 cm;0
3576;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3577;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3578;robusta;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
3579;trifoliata;Ptelea;2013;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3580;spaitii;Alnus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3581;verrucosa;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3582;bignonoides;Catalpa;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
3583;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3584;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3585;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3586;campestris;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;10 à 20 cm;0
3587;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3588;amurense;Syringa;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3589;altissima;Ailanthus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
3590;cappadocicum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3591;sylvestris;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3592;angustifolia;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3593;baccata;Taxus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3594;calleryana;Pyrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3595;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3596;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3597;cerris;Quercus;2012;2010;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3598;calleryana;Pyrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3599;pseudoacacia;Robinia;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;50 à 60 cm;0
3600;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3601;japonica;Sophora;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3602;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3603;pseudoacacia;Robinia;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3604;orientalis;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3605;negundo;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3606;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3607;carpinifolia;Ostrya;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3608;pseudoplatanus;Acer;2015;2015;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3609;danielli;Tetradium;2010;2010;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3610;ceracifera;Prunus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3611;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
3612;platanoides;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3613;angustifolia;Eleagnus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3614;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3615;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3616;Unknown;Fraxinus;2006;2005;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3617;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3618;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3619;kagayamae;Morus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3620;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
3621;leylandii;Cupressocyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3622;baccata;Taxus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3623;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3624;japonica;Sophora;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3625;henryana;Tilia;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3626;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3627;verrucosa;Betula;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3628;Unknown;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3629;sylvatica;Fagus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3630;atlantica;Cedrus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;40 à 50 cm;0
3631;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;90 à 100 cm;0
3632;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3633;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3634;Unknown;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3635;Unknown;Alnus;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3636;excelsior;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3637;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3638;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3639;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3640;Unknown;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
3641;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3642;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3643;negundo;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3644;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3645;freemani;Acer;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3646;griffiti;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3647;betulus;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3648;siliquastrum;Cercis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3649;excelsior;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3650;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3651;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
3652;cordata;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3653;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3654;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3655;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3656;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3657;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3658;hippocastanum;Aesculus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3659;Unknown;Fraxinus;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3660;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;60 à 70 cm;0
3661;danielli;Tetradium;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3662;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3663;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3664;Unknown;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3665;excelsior;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3666;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3667;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3668;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
3669;platanor;Platanus;2014;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3670;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3671;tulipifera;Liriodendron;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3672;saccharinum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3673;Unknown;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3674;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3675;ceracifera;Prunus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3676;atlantica;Cedrus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3677;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3678;tomentosa;Tilia;2004;2000;non;passages fréquents ou arrêts;vigoureux;60 à 70 cm;0
3679;serrulata;Prunus;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3680;Unknown;Amélanchier;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3681;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3682;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3683;cappadocicum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3684;tomentosa;Tilia;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3685;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3686;sylvatica;Fagus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;120 à 130 cm;0
3687;buergerianum;Acer;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3688;leylandii;Cupressocyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3689;campestris;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3690;grandiflora;Magnolia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3691;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;Unknown;0
3692;nigra;Juglans;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3693;floribunda;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
3694;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;Unknown;0
3695;cordata;Alnus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3696;baccata;Taxus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3697;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;90 à 100 cm;0
3698;Unknown;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3699;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3700;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3701;cappadocicum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3702;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3703;utilis;Betula;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3704;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;20 à 30 cm;0
3705;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3706;nigra;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3707;styraciflua;Liquidambar;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3708;styraciflua;Liquidambar;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3709;tomentosa;Tilia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3710;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;30 à 40 cm;0
3711;Unknown;Tilia;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;30 à 40 cm;0
3712;monspessulanum;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3713;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3714;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3715;concolor;Abies;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;30 à 40 cm;0
3716;rubra;Quercus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3717;triacanthos;Gleditsia;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3718;Unknown;Pinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3719;tulipifera;Liriodendron;2009;2005;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3720;altissima;Ailanthus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3721;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3722;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3723;negundo;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
3724;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3725;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;60 à 70 cm;0
3726;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3727;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;80 à 90 cm;0
3728;colurna;Corylus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3729;biloba;Ginkgo;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3730;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3731;ginnala;Acer;2015;2015;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3732;calleryana;Pyrus;2009;2005;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3733;pseudoplatanus;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3734;Unknown;Acer;2011;2010;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3735;floribunda;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3736;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3737;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3738;cordata;Alnus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3739;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3740;Unknown;Salix;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3741;Unknown;Fraxinus;2013;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3742;angustifolia;Fraxinus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3743;cordata;Alnus;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
3744;tulipifera;Liriodendron;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3745;serrulata;Prunus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3746;danielli;Tetradium;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3747;Unknown;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3748;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
3749;Unknown;Pinus;2004;2000;non;passages fréquents ou arrêts;vieillissement dépérissement;20 à 30 cm;0
3750;campestris;Acer;2011;2010;oui;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3751;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;10 à 20 cm;0
3752;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3753;tulipifera;Liriodendron;2005;2005;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3754;sylvatica;Fagus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3755;excelsior;Fraxinus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
3756;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3757;cordata;Alnus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3758;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;40 à 50 cm;0
3759;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;50 à 60 cm;0
3760;pseudoplatanus;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3761;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3762;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3763;rubrum;Acer;2013;2010;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3764;Unknown;Malus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3765;nigra;Populus;2004;2000;non;passages fréquents et arrêts fréquents;vieillissement dépérissement;20 à 30 cm;0
3766;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3767;americana;Fraxinus;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;10 à 20 cm;0
3768;hippocastanum;Aesculus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3769;atlantica;Cedrus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3770;betulus;Carpinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;20 à 30 cm;0
3771;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3772;bignonoides;Catalpa;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3773;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;30 à 40 cm;0
3774;robur;Quercus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;80 à 90 cm;0
3775;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;40 à 50 cm;0
3776;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;40 à 50 cm;0
3777;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3778;domestica;Prunus;2015;2015;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3779;Unknown;Acer;2004;2000;non;passages fréquents ou arrêts;vigoureux;20 à 30 cm;0
3780;hippocastanum;Aesculus;2004;2000;oui;passages fréquents ou arrêts;vigoureux;30 à 40 cm;0
3781;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3782;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;100 à 110 cm;0
3783;sinense;ligustrum;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3784;nigra;Pinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3785;tomentosa;Tilia;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3786;australis;Celtis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;50 à 60 cm;0
3787;sylvatica;Fagus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3788;grandiflora;Magnolia;2005;2005;oui;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3789;Unknown;Pinus;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;10 à 20 cm;0
3790;campestris;Acer;2004;2000;oui;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3791;acerifolia;Platanus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;20 à 30 cm;0
3792;cerasus;Prunus;2014;2010;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3793;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3794;Unknown;Carpinus;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;0 à 10 cm;0
3795;japonica;Sophora;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;30 à 40 cm;0
3796;monspessulanum;Acer;2015;2015;non;passages fréquents ou arrêts;vigoureux;10 à 20 cm;0
3797;lawsoniana;Chamaecyparis;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;70 à 80 cm;0
3798;Unknown;Alnus;2004;2000;non;passages fréquents ou arrêts;vigoureux;0 à 10 cm;0
3799;nordmaniana;Abies;2004;2000;non;passages fréquents et arrêts fréquents;vigoureux;10 à 20 cm;0
3800;platanoides;Acer;2004;2000;non;passages fréquents et arrêts fréquents;vigueur intermédiaire;20 à 30 cm;0
3801;saccharinum;Acer;2004;2000;oui;passages fréquents et arrêts fréquents;vigueur intermédiaire;60 à 70 cm;0
3802;acerifolia;Platanus;2004;2000;oui;passages fréquents et arrêts fréquents;vigoureux;60 à 70 cm;0
3803;pseudoacacia;Robinia;2004;2000;non;passages fréquents ou arrêts;vigueur intermédiaire;60 à 70 cm;0
